# name,# catalog-job 2021-09-28
# SQL,"# -- This is an example for selecting QSO candidates at z ~ 4.5
# -- based on Richards et al. (2002) AJ 123, 2945
# -- including i band based classification of extendedness (PSF-like objects)
# 
# -- NOTE:
# --   --> Remove 'LIMIT 10' for your query
# --   --> Edit the schema name 'pdr3_dud' for your query.
# --   --> Arithmetic including mag = 'NaN' (flux < 0) is all too confusing to humans.
# --       It is recommended to write the search condition in terms of fluxes
# --       despite this example.
# 
# SELECT
#         object_id
#       , ra
#       , dec
# 	  , tract
# 	  , patch
#       , g_kronflux_mag
#       , g_kronflux_magerr
#       , r_kronflux_mag
#       , r_kronflux_magerr
#       , i_kronflux_mag
#       , i_kronflux_magerr
#       , z_kronflux_mag
#       , z_kronflux_magerr
#       , y_kronflux_mag
#       , y_kronflux_magerr
#     FROM
#         pdr3_dud.forced
#         JOIN pdr3_dud.forced2 USING (object_id)
#     WHERE
#     isprimary
#     AND i_kronflux_magerr < 0.2 --- good measurement in i band Kron photometry
#     AND g_kronflux_mag > 25.8 ---  gmag limit
#     AND (r_kronflux_mag - i_kronflux_mag) >  0.6 --- r - i >  0.6
#     AND (i_kronflux_mag - z_kronflux_mag) > -1.0 --- i - z < -1.0
#     AND (i_kronflux_mag - z_kronflux_mag) < 0.52 * (r_kronflux_mag - i_kronflux_mag) - 0.412 -- i - z < 0.52(r - i) - 0.412
#     AND i_kronflux_mag < 26.6 --- imag limit
#     AND r_kronflux_mag < 27.5 --- rmag limit
#     AND z_kronflux_mag < 25.8 --- zmag limit
#     AND i_extendedness_value = 0 --- not extended
#     LIMIT 2000
# ;
# "
#
object_id,ra,dec,tract,patch,g_kronflux_mag,g_kronflux_magerr,r_kronflux_mag,r_kronflux_magerr,i_kronflux_mag,i_kronflux_magerr,z_kronflux_mag,z_kronflux_magerr,y_kronflux_mag,y_kronflux_magerr
42687868933508061,351.3823157979697,0.7095505599507081,9706,304,27.2730179,0.297801077,26.5214424,0.209104285,25.5553207,0.129750833,25.6156979,0.214251533,25.2756538,0.369946569
42687868933508256,351.32788192091937,0.713249785705446,9706,304,27.5668373,0.340053588,26.5344181,0.188706875,25.1904106,0.0805581212,24.9124966,0.110110037,24.6256237,0.185957879
42687868933508552,351.2784400775651,0.7191567004328004,9706,304,29.7735825,3.60258174,26.3775253,0.222865477,24.9750824,0.0901525915,24.9074631,0.139699072,24.2463245,0.17588982
42687868933509530,351.3678051237402,0.7397585664808545,9706,304,28.1247654,0.532199383,27.0651207,0.283551157,24.7492657,0.0496330485,24.0505867,0.042918317,23.8234329,0.0821470246
42687868933510131,351.3043544551619,0.7511723509113534,9706,304,25.8229752,0.211414233,26.1178036,0.422574311,24.9651985,0.192946926,24.8703156,0.299871624,24.7583847,0.617195964
42687868933511038,351.3203622968234,0.7704429266091908,9706,304,26.9789104,0.28171888,26.8062019,0.337360293,25.7292957,0.180105284,25.7648487,0.323100299,24.8277054,0.307343274
42687868933512450,351.3015037949551,0.7996752912510342,9706,304,25.8166332,0.223667055,25.8746605,0.342352241,24.8455257,0.198478967,25.2796936,0.466292202,24.4643745,0.528064191
42687868933513038,351.36125063756015,0.8119959801496688,9706,304,26.5722694,0.145355463,26.1651287,0.142266661,25.436657,0.111287937,25.6096897,0.208917007,26.4036865,1.01602232
42687868933524566,351.2368938159595,0.6541073047642574,9706,304,28.4804268,0.894706845,27.4035549,0.472344458,24.9997025,0.0727173313,24.7937222,0.104361832,26.6779919,1.32595193
42687868933527095,351.2388878007345,0.6838959538647728,9706,304,29.5104885,2.9393847,27.2009697,0.509024203,25.7110748,0.184739649,25.7404366,0.32009089,24.7384796,0.302773982
42687868933527358,351.25311639358745,0.6893357855428667,9706,304,28.8684845,1.48151124,26.7392139,0.293740392,24.2933598,0.043050658,23.4668274,0.0340858139,23.1054897,0.0591906607
42687868933527422,351.28497008080654,0.687331549185914,9706,304,26.0687046,0.15113315,25.9476147,0.192153573,24.9731007,0.116415456,24.9381714,0.185175076,24.1345119,0.212961629
42687868933528135,351.24953065886695,0.6968514743875178,9706,304,26.6664791,0.224319845,26.0010147,0.173630938,25.3561172,0.136667162,25.49613,0.26144743,24.94767,0.378985256
42687868933528899,351.3527760803937,0.7079412257481534,9706,304,26.091135,0.191869944,25.8245144,0.204987422,25.1073971,0.169349998,25.3058014,0.325400561,26.6687355,2.63014483
42687868933528905,351.3301426176771,0.707624533843686,9706,304,26.3222141,0.202224255,25.8721199,0.186451793,25.2720089,0.159372598,25.4831448,0.327555269,24.8407021,0.428584337
42687868933528949,351.27045201740026,0.708828439260927,9706,304,26.5888672,0.230280459,25.565073,0.131046459,24.7975197,0.0897735506,25.6601868,0.359497249,25.1352062,0.496410847
42687868933530101,351.3827127126764,0.7240454332994916,9706,304,27.1821957,0.366579682,26.6269321,0.308408856,25.6699562,0.196418896,25.7228279,0.328157604,25.3359299,0.519389808
42687868933532920,351.35886024030526,0.7628082967767582,9706,304,25.9923306,0.105812639,25.70644,0.119884782,25.1054058,0.0973910019,25.2504578,0.19250603,25.0600033,0.377300739
42687868933533848,351.3905320532903,0.7813603180136918,9706,304,26.8078747,0.206914872,26.5049343,0.238294467,24.6464043,0.058549244,25.3909721,0.209412098,24.9734135,0.328695178
42687868933535224,351.3783511762532,0.799359460590244,9706,304,27.1034164,0.599717736,26.5334511,0.532526731,24.9298534,0.17925562,25.7372494,0.581454337,25.6540413,1.25264668
42687873228472844,351.3794894250128,0.8437847505274398,9706,305,26.4103947,0.317769438,26.3990173,0.476204425,25.0264149,0.196541816,25.2110138,0.365652055,27.1643524,4.89280558
42687873228473486,351.2972535700756,0.8569312207533945,9706,305,26.9039192,0.205995858,26.132021,0.145381704,25.2676144,0.0986125767,25.407547,0.183683038,26.4230576,1.05101979
42687873228473688,351.2660362313021,0.8608485741744986,9706,305,26.1637344,0.394678175,26.0387077,0.480009049,24.5323582,0.193657592,24.472065,0.308075517,nan,nan
42687873228474023,351.36266974921847,0.8680118503067503,9706,305,27.8790531,0.633839905,26.911068,0.330757618,25.6493187,0.158352599,25.7036648,0.281795233,26.7420807,1.57130003
42687873228476090,351.2687155695314,0.9143286169058754,9706,305,25.8742332,0.240694121,25.2831764,0.208148822,24.6668415,0.179353282,24.8654442,0.362319142,24.4146614,0.495469987
42687873228476225,351.3583155437218,0.917282735294511,9706,305,27.7287865,0.703371465,26.5623837,0.344735354,25.3973179,0.186226025,25.4257317,0.308534026,25.4399986,0.694209456
42687873228477447,351.2167695257543,0.9450106652267439,9706,305,25.8910561,0.329219967,25.3731976,0.350270927,24.2856102,0.182106346,24.539402,0.354623079,25.4518757,1.85797906
42687873228479116,351.3338646171521,0.9924936297074666,9706,305,26.7692642,0.464777738,25.8335724,0.279795438,24.9545746,0.193032667,25.7773781,0.743087292,23.6623878,0.27502358
42687873228479847,351.3832088509678,1.0158195726979098,9706,305,26.6515007,0.251532972,26.7283382,0.366339773,25.1536407,0.135043219,25.2392139,0.283701181,25.4482536,0.63298893
42687873228481610,351.36333205501427,0.9013558537057725,9706,305,27.3377113,0.743699551,26.232935,0.390301168,24.7480812,0.14297308,24.7321491,0.240358099,27.078167,4.68352556
42687873228490664,351.25993025797027,0.8394824908039891,9706,305,25.8911171,0.448420256,25.4169426,0.411519825,24.1821423,0.197059825,24.2137566,0.338117093,nan,nan
42687873228491123,351.2302504773871,0.8515369256412366,9706,305,26.0898895,0.252482086,25.132597,0.15037176,23.4047279,0.0463279672,23.1204014,0.0582400188,22.5319977,0.073496744
42687873228491892,351.36917854705126,0.855903322220166,9706,305,26.0469246,0.211326957,26.1472588,0.335450798,24.9473839,0.17493856,24.9857597,0.268956214,nan,nan
42687873228492014,351.33853637727157,0.8595204126226786,9706,305,25.8483429,0.114448428,25.3561478,0.0998869836,24.5681953,0.0752266198,25.042326,0.188260943,24.7039337,0.32302314
42687873228492102,351.3508933866008,0.8698743190726439,9706,305,nan,nan,27.0268326,0.319471687,23.8759747,0.028318353,22.7832794,0.0169126503,22.3526821,0.025033541
42687873228493648,351.23696952689,0.8841768927014524,9706,305,27.3579559,1.18559015,27.1562958,1.40291357,24.2260284,0.149796993,24.1027946,0.205224946,24.0846806,0.449274719
42687873228494094,351.29656427120415,0.8941496411168708,9706,305,25.9536819,0.227072045,25.9893341,0.348070592,24.3981552,0.11928463,24.2817764,0.170393273,23.7048073,0.228815123
42687873228494406,351.2774326348818,0.897946364154009,9706,305,nan,nan,26.8552628,0.440424353,25.2204323,0.142467946,25.1910725,0.239665538,25.2932854,0.563861609
42687873228494891,351.36313735792874,0.9008727595021951,9706,305,27.1666794,0.353227824,27.0130558,0.44137305,25.603241,0.174261406,25.2847195,0.222998887,nan,nan
42687873228495448,351.2796916239379,0.9090920337263588,9706,305,26.0729599,0.658697307,25.8461075,0.800527275,23.721611,0.170804039,23.2803993,0.185144901,22.7762947,0.250306547
42687873228495901,351.36009525472525,0.9165192163528947,9706,305,29.295433,1.87882674,26.9813843,0.311560631,25.7191429,0.153471723,25.7448196,0.247532442,25.4181232,0.404891491
42687873228496040,351.2487521193014,0.9191336665755938,9706,305,27.1442413,0.613086164,26.2654724,0.4172405,24.9325924,0.177697048,24.6887207,0.234408498,24.3857956,0.416720361
42687873228496432,351.3672337452118,0.9298020930015579,9706,305,28.8493805,1.9672364,26.0968304,0.21857357,25.0496559,0.136029258,25.0661812,0.201241583,24.5739231,0.283080488
42687873228496551,351.38816109600367,0.9300858902445115,9706,305,27.7366867,0.794555902,27.0544567,0.567945838,23.4984646,0.035029944,22.461483,0.02113894,21.9108677,0.0268809069
42687873228497178,351.3795210343716,0.9409183851966803,9706,305,28.8935642,2.36659074,26.4753056,0.357950777,24.0455513,0.0629619211,23.2318459,0.0433265232,22.8671856,0.0671659634
42687873228497307,351.31471299389966,0.9660311497753026,9706,305,26.3640156,0.25249052,25.3191109,0.125994399,23.0896339,0.029147502,22.7013836,0.0290404893,22.0101357,0.0396308117
42687873228497860,351.33891807848073,0.951473054977323,9706,305,26.4423141,0.353740543,25.8714943,0.317683578,24.7111549,0.172394708,24.614666,0.242672592,28.2480335,15.6669312
42687873228498655,351.338796440433,0.9719269018461953,9706,305,26.0694275,0.301834822,25.3815231,0.231650338,24.7020054,0.193245903,25.6732311,0.753448665,24.1470928,0.409308642
42687873228498761,351.3168915185658,0.9709881915845058,9706,305,26.4972706,0.210836962,26.4040794,0.280860215,25.4424953,0.181717098,25.4556103,0.289169848,26.4867764,1.70955443
42687873228499168,351.27573885425295,0.984920468612542,9706,305,26.3889427,0.224315301,26.2560368,0.299043447,25.3638515,0.198930472,25.5260067,0.363975972,24.1400585,0.227468744
42687873228499291,351.3819921195925,0.984392864101164,9706,305,nan,nan,26.142704,0.271741658,25.0442276,0.170554563,25.0218391,0.261424512,24.3282585,0.276586235
42687873228499412,351.2519092955744,0.9888885963364088,9706,305,26.3452721,0.921861947,24.906805,0.356478035,23.6431541,0.183393493,23.9986229,0.374510527,22.5633545,0.227280617
42687873228499973,351.2157048130929,0.9982957389858376,9706,305,26.5663223,0.459654629,25.5428238,0.266542614,24.5832863,0.182906911,25.0033836,0.464054376,24.0018406,0.317704678
42687877523440035,351.2071344605273,1.0406233830426217,9706,306,27.1765137,1.67780793,25.1145592,0.430487841,23.7392769,0.185598686,23.6348248,0.28152132,23.5354881,0.420777798
42687877523440153,351.38019092986366,1.0473003407560448,9706,306,nan,nan,26.938179,0.766396165,24.5075378,0.145629838,24.3946362,0.240896001,24.3451576,0.37076208
42687877523440645,351.36807427517033,1.083323359315633,9706,306,25.9005642,0.476789862,24.9702568,0.278084576,23.4049759,0.115500264,23.4031754,0.192036256,22.8810234,0.211158499
42687877523441143,351.33447425159017,1.1395113369260568,9706,306,26.5986481,0.81943965,25.5890732,0.535353839,23.2335453,0.0959492251,24.1326466,0.361214042,24.0764618,0.550008535
42687989192594647,351.0914940859976,0.026341730120009173,9706,400,26.8328667,0.301754475,26.2761784,0.261731535,25.4763718,0.18266198,25.6779537,0.354731739,24.931715,0.420960516
42687989192594726,351.16087232762357,0.02793698993718619,9706,400,27.1735191,0.325374633,26.6033325,0.277158111,25.5966568,0.163290173,25.600872,0.288224578,25.7492256,0.717602909
42687989192595240,351.1425243256073,0.03898982494971262,9706,400,25.9019623,0.145243645,25.7942314,0.188923955,25.154274,0.160455853,25.243515,0.277899176,24.7471886,0.437476337
42687989192595982,351.16108574156095,0.055252808941546355,9706,400,27.164938,0.362757713,25.7984467,0.147495851,25.1925049,0.128909856,25.6875362,0.333121061,nan,nan
42687989192596351,351.0414608694547,0.06350727990964326,9706,400,27.9565239,0.593903124,26.5045242,0.22101216,25.1539555,0.108357809,25.4638367,0.201669365,25.1538315,0.338444561
42687989192598675,351.03271964671774,0.040521632572994744,9706,400,26.138176,0.295994461,25.5243187,0.232039526,24.7985992,0.196250573,25.008934,0.347768694,26.4457569,2.77477074
42687989192599676,351.151375421451,0.05994272803874557,9706,400,27.0926094,0.367963374,26.087719,0.203615636,25.1516228,0.137279108,25.1044445,0.207753509,24.4197273,0.267158151
42687989192614738,351.1958613366793,0.012431805442969143,9706,400,27.9435024,0.55966717,27.289175,0.434675455,24.7850323,0.0666574985,23.9319496,0.0530800968,23.6314392,0.0850300789
42687989192615208,351.0403981808286,0.013258934109368986,9706,400,26.1706333,0.182740882,25.5732803,0.153247818,24.9019203,0.137283593,25.1109772,0.233661398,24.4179916,0.27199322
42687989192617462,351.05007309332774,0.0453417835348542,9706,400,27.113903,0.593162,26.3104687,0.408404976,24.6684628,0.145829111,24.6845207,0.20764257,25.1560974,0.788122416
42687989192617777,351.0902415235969,0.05078540856161749,9706,400,27.5226212,0.912718773,26.6683407,0.558248401,24.0608597,0.0862562135,23.5894794,0.0873280093,23.1907501,0.133578926
42687989192618264,351.05417273841806,0.05714851947947687,9706,400,26.8503056,0.375235081,26.3747597,0.334303647,25.048378,0.15980044,25.3657608,0.304220825,24.9227753,0.502967298
