proposal_id,obj_id,ra,dec,epoch,tract,patch,input_catalog_name,input_catalog_obj_id
S21B-EN01,42687868933508061,351.3823157979697,0.7095505599507081,J2000.0,9706,304,hscssp_pdr3_dud,42687868933508061
S21B-EN01,42687868933508256,351.32788192091937,0.713249785705446,J2000.0,9706,304,hscssp_pdr3_dud,42687868933508256
S21B-EN01,42687868933508552,351.2784400775651,0.7191567004328004,J2000.0,9706,304,hscssp_pdr3_dud,42687868933508552
S21B-EN01,42687868933509530,351.3678051237402,0.7397585664808545,J2000.0,9706,304,hscssp_pdr3_dud,42687868933509530
S21B-EN01,42687868933510131,351.3043544551619,0.7511723509113534,J2000.0,9706,304,hscssp_pdr3_dud,42687868933510131
S21B-EN01,42687868933511038,351.3203622968234,0.7704429266091908,J2000.0,9706,304,hscssp_pdr3_dud,42687868933511038
S21B-EN01,42687868933512450,351.3015037949551,0.7996752912510342,J2000.0,9706,304,hscssp_pdr3_dud,42687868933512450
S21B-EN01,42687868933513038,351.36125063756015,0.8119959801496688,J2000.0,9706,304,hscssp_pdr3_dud,42687868933513038
S21B-EN01,42687868933524566,351.2368938159595,0.6541073047642574,J2000.0,9706,304,hscssp_pdr3_dud,42687868933524566
S21B-EN01,42687868933527095,351.2388878007345,0.6838959538647728,J2000.0,9706,304,hscssp_pdr3_dud,42687868933527095
S21B-EN01,42687868933527358,351.25311639358745,0.6893357855428667,J2000.0,9706,304,hscssp_pdr3_dud,42687868933527358
S21B-EN01,42687868933527422,351.28497008080654,0.687331549185914,J2000.0,9706,304,hscssp_pdr3_dud,42687868933527422
S21B-EN01,42687868933528135,351.24953065886695,0.6968514743875178,J2000.0,9706,304,hscssp_pdr3_dud,42687868933528135
S21B-EN01,42687868933528899,351.3527760803937,0.7079412257481534,J2000.0,9706,304,hscssp_pdr3_dud,42687868933528899
S21B-EN01,42687868933528905,351.3301426176771,0.707624533843686,J2000.0,9706,304,hscssp_pdr3_dud,42687868933528905
S21B-EN01,42687868933528949,351.27045201740026,0.708828439260927,J2000.0,9706,304,hscssp_pdr3_dud,42687868933528949
