proposal_id,obj_id,user_ra,user_dec,user_epoch,tract,patch,object_type_name,input_catalog_name,input_catalog_obj_id
S21B-EN01,42687873228496432,351.3672337452118,0.929802093001558,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228496432
S21B-EN01,42687873228496551,351.38816109600367,0.9300858902445116,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228496551
S21B-EN01,42687873228497178,351.3795210343716,0.9409183851966804,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228497178
S21B-EN01,42687873228497307,351.31471299389966,0.9660311497753026,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228497307
S21B-EN01,42687873228497860,351.3389180784808,0.951473054977323,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228497860
S21B-EN01,42687873228498655,351.338796440433,0.9719269018461952,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228498655
S21B-EN01,42687873228498761,351.3168915185658,0.9709881915845058,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228498761
S21B-EN01,42687873228499168,351.2757388542529,0.984920468612542,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228499168
S21B-EN01,42687873228499291,351.3819921195925,0.984392864101164,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228499291
S21B-EN01,42687873228499412,351.2519092955744,0.9888885963364088,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228499412
S21B-EN01,42687873228499973,351.2157048130929,0.9982957389858376,J2000.0,9706,305,galaxy,hscssp_pdr3,42687873228499973
S21B-EN01,42687877523440035,351.2071344605273,1.0406233830426217,J2000.0,9706,306,galaxy,hscssp_pdr3,42687877523440035
S21B-EN01,42687877523440153,351.38019092986366,1.0473003407560448,J2000.0,9706,306,galaxy,hscssp_pdr3,42687877523440153
S21B-EN01,42687877523440645,351.3680742751704,1.083323359315633,J2000.0,9706,306,galaxy,hscssp_pdr3,42687877523440645
S21B-EN01,42687877523441143,351.33447425159017,1.1395113369260568,J2000.0,9706,306,galaxy,hscssp_pdr3,42687877523441143
S21B-EN01,42687989192594647,351.0914940859976,0.0263417301200091,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192594647
S21B-EN01,42687989192594726,351.1608723276236,0.0279369899371861,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192594726
S21B-EN01,42687989192595240,351.1425243256073,0.0389898249497126,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192595240
S21B-EN01,42687989192595982,351.1610857415609,0.0552528089415463,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192595982
S21B-EN01,42687989192596351,351.0414608694547,0.0635072799096432,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192596351
S21B-EN01,42687989192598675,351.03271964671774,0.0405216325729947,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192598675
S21B-EN01,42687989192599676,351.151375421451,0.0599427280387455,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192599676
S21B-EN01,42687989192614738,351.1958613366793,0.0124318054429691,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192614738
S21B-EN01,42687989192615208,351.0403981808286,0.0132589341093689,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192615208
S21B-EN01,42687989192617462,351.05007309332774,0.0453417835348542,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192617462
S21B-EN01,42687989192617777,351.0902415235969,0.0507854085616174,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192617777
S21B-EN01,42687989192618264,351.05417273841806,0.0571485194794768,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192618264
S21B-EN01,42687989192619253,351.1811430693316,0.0701418058022844,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192619253
S21B-EN01,42687989192619971,351.04066742642715,0.0826859891375129,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192619971
S21B-EN01,42687989192620262,351.10311733355496,0.0854455313505149,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192620262
S21B-EN01,42687989192620491,351.02217574296714,0.0895157928909225,J2000.0,9706,400,galaxy,hscssp_pdr3,42687989192620491
S21B-EN01,42687993487559362,351.07982153840817,0.144024339073989,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487559362
S21B-EN01,42687993487559660,351.11779036202137,0.1505908683941554,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487559660
S21B-EN01,42687993487560536,351.0728798358169,0.1692867331054514,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487560536
S21B-EN01,42687993487563286,351.1663369552844,0.2296590476155664,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487563286
S21B-EN01,42687993487563344,351.1665538179649,0.2312632290574839,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487563344
S21B-EN01,42687993487563642,351.0737393555576,0.2380896964051448,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487563642
S21B-EN01,42687993487564716,351.13402882076866,0.2636417098802646,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487564716
