# name,# catalog-job 2021-10-09
# SQL,"# -- Simple area search based on the range of RA and Dec getting all object
# -- with i band Kron magnitudes smaller than 25.5, and in the area in
# -- the range RA J2000 between 34.0 and 36.0 degrees and Dec J2000 -5.0
# -- and -4.5 degrees.
# 
# -- WARNING:
# --   --> Remove 'LIMIT 10' for your query
# --   --> Edit the schema name 'pdr3_dud' for your query.
# 
# SELECT
#     object_id
#       , ra
#       , dec
# 	  , tract
# 	  , patch
#       , i_kronflux_mag
#       , i_kronflux_magerr
#       , y_kronflux_mag
#       , y_kronflux_magerr
#       , i_kronflux_mag - y_kronflux_mag AS i_y
#     FROM
#     pdr3_dud.forced
#     JOIN pdr3_dud.forced2 USING (object_id)
#     WHERE
#     isprimary
#     AND boxSearch(coord, 34.0, 36.0, -5.0, -4.5)
#           /* is equivalent to
37489932008198963,35.07984246332448,-4.94123577308952,8524,705,23.9862289,0.0163877718,23.1408596,0.0275362637,0.845369339
37489932008198980,35.0802487675715,-4.941698376703435,8524,705,25.0983868,0.123046562,24.207159,0.197439373,0.891227722
37489932008199577,35.08003165170512,-4.93905346199117,8524,705,21.9473,0.0022342708,21.3775558,0.00490025012,0.56974411
37489932008199579,35.08085274853124,-4.939758702954332,8524,705,23.6993904,0.0130654918,23.1287804,0.0287289899,0.570610046
37489932008200175,35.080560813128315,-4.935110252706468,8524,705,23.6220131,0.0141504584,22.1095619,0.0129679441,1.51245117
37489932008200177,35.07986198428833,-4.935376949757227,8524,705,nan,nan,nan,nan,nan
37489932008200178,35.08005674810262,-4.934958454354749,8524,705,25.4006824,0.0680722892,24.4412766,0.104456462,0.959405899
37489932008200411,35.080301501059374,-4.930832593108577,8524,705,22.5089188,0.00447272323,21.9795265,0.00997385662,0.529392242
37489936303129129,35.07958316160873,-4.916598850414721,8524,706,23.4187813,0.00916444603,23.1315498,0.0260245223,0.287231445
37489936303129568,35.07822057369321,-4.904847020279232,8524,706,25.2497616,0.0466492847,25.7201614,0.268811196,-0.470399857
37489936303130495,35.077622979169284,-4.878960652534445,8524,706,24.8209991,0.0266389027,24.0591679,0.0487517156,0.761831284
37489936303144611,35.07935675363312,-4.921952667389851,8524,706,23.2090683,0.00888703577,22.7854958,0.0220270716,0.42357254
37489936303144761,35.0800109831733,-4.92052176631075,8524,706,24.8814545,0.0406408049,24.5165443,0.106009103,0.364910126
37489936303144994,35.08025340123586,-4.918197975483227,8524,706,25.3078957,0.0690994188,24.6539879,0.142717719,0.653907776
37489936303144999,35.079845584538624,-4.917851696143741,8524,706,25.1385517,0.135980427,24.47612,0.276762336,0.662431717
37489936303146080,35.07911334391242,-4.911004718601228,8524,706,24.0601082,0.0778336897,23.1139908,0.120712683,0.946117401
37489936303146190,35.079794437430884,-4.909476801068935,8524,706,23.8506126,0.0139171919,23.3893204,0.0335741565,0.461292267
37489936303146191,35.07778705418243,-4.907221192324389,8524,706,23.3694687,0.0179386921,22.9912014,0.0470606461,0.378267288
