input_catalog_id,input_catalog_name,input_catalog_description
0,"simulated","simulated catalog"
1,"gaia_dr1","Gaia Data Release 1"
2,"gaia_dr2","Gaia Data Release 2"
3,"gaia_edr3","Gaia Early Data Release 3"
4,"gaia_dr3","Gaia Data Release 3"
5,"hscssp_pdr1","HSC-SSP Public Data Release 1"
6,"hscssp_pdr2","HSC-SSP Public Data Release 2"
7,"hscssp_pdr3","HSC-SSP Public Data Release 3"
8,"hscssp_pdr4","HSC-SSP Public Data Release 4"
