proposal_id,obj_id,ra,dec,epoch,tract,patch,input_catalog_name,input_catalog_obj_id
S21B-EN01,42687873228496551,351.3882444403179,0.9300858902435275,J2000.0,9706,305,hscssp_pdr3_dud,42687873228496551
S21B-EN01,42687873228497178,351.37960437894316,0.9409183851956853,J2000.0,9706,305,hscssp_pdr3_dud,42687873228497178
S21B-EN01,42687873228497307,351.3147963390791,0.9660311497742808,J2000.0,9706,305,hscssp_pdr3_dud,42687873228497307
S21B-EN01,42687873228497860,351.3390014233059,0.9514730549763166,J2000.0,9706,305,hscssp_pdr3_dud,42687873228497860
S21B-EN01,42687873228498655,351.3388797857575,0.9719269018451672,J2000.0,9706,305,hscssp_pdr3_dud,42687873228498655
S21B-EN01,42687873228498761,351.3169748638672,0.9709881915834786,J2000.0,9706,305,hscssp_pdr3_dud,42687873228498761
S21B-EN01,42687873228499168,351.27582219990023,0.9849204686115003,J2000.0,9706,305,hscssp_pdr3_dud,42687873228499168
S21B-EN01,42687873228499291,351.3820754652266,0.9843928641001227,J2000.0,9706,305,hscssp_pdr3_dud,42687873228499291
S21B-EN01,42687873228499412,351.2519926413212,0.9888885963353629,J2000.0,9706,305,hscssp_pdr3_dud,42687873228499412
S21B-EN01,42687873228499973,351.21578815907696,0.9982957389847814,J2000.0,9706,305,hscssp_pdr3_dud,42687873228499973
S21B-EN01,42687877523440035,351.2072178076071,1.0406233830415208,J2000.0,9706,306,hscssp_pdr3_dud,42687877523440035
S21B-EN01,42687877523440153,351.38027427712046,1.047300340754937,J2000.0,9706,306,hscssp_pdr3_dud,42687877523440153
S21B-EN01,42687877523440645,351.3681576234016,1.083323359314487,J2000.0,9706,306,hscssp_pdr3_dud,42687877523440645
S21B-EN01,42687877523441143,351.33455760140714,1.1395113369248513,J2000.0,9706,306,hscssp_pdr3_dud,42687877523441143
S21B-EN01,42687989192594647,351.0915774193397,0.02634173011998124,J2000.0,9706,400,hscssp_pdr3_dud,42687989192594647
S21B-EN01,42687989192594726,351.16095566096686,0.02793698993715655,J2000.0,9706,400,hscssp_pdr3_dud,42687989192594726
S21B-EN01,42687989192595240,351.14260765895995,0.03898982494967136,J2000.0,9706,400,hscssp_pdr3_dud,42687989192595240
S21B-EN01,42687989192595982,351.161169074933,0.05525280894148786,J2000.0,9706,400,hscssp_pdr3_dud,42687989192595982
S21B-EN01,42687989192596351,351.0415442028392,0.06350727990957603,J2000.0,9706,400,hscssp_pdr3_dud,42687989192596351
S21B-EN01,42687989192598675,351.03280298007195,0.04052163257295184,J2000.0,9706,400,hscssp_pdr3_dud,42687989192598675
S21B-EN01,42687989192599676,351.15145875482995,0.0599427280386821,J2000.0,9706,400,hscssp_pdr3_dud,42687989192599676
S21B-EN01,42687989192614738,351.1959446700146,0.01243180544295595,J2000.0,9706,400,hscssp_pdr3_dud,42687989192614738
S21B-EN01,42687989192615208,351.0404815141642,0.013258934109354876,J2000.0,9706,400,hscssp_pdr3_dud,42687989192615208
S21B-EN01,42687989192617462,351.0501564266872,0.045341783534806245,J2000.0,9706,400,hscssp_pdr3_dud,42687989192617462
S21B-EN01,42687989192617777,351.090324856963,0.05078540856156369,J2000.0,9706,400,hscssp_pdr3_dud,42687989192617777
S21B-EN01,42687989192618264,351.0542560717929,0.05714851947941636,J2000.0,9706,400,hscssp_pdr3_dud,42687989192618264
S21B-EN01,42687989192619253,351.18122640272736,0.07014180580221022,J2000.0,9706,400,hscssp_pdr3_dud,42687989192619253
S21B-EN01,42687989192619971,351.04075075984724,0.08268598913742546,J2000.0,9706,400,hscssp_pdr3_dud,42687989192619971
S21B-EN01,42687989192620262,351.10320066698097,0.08544553135042453,J2000.0,9706,400,hscssp_pdr3_dud,42687989192620262
S21B-EN01,42687989192620491,351.02225907640224,0.08951579289082782,J2000.0,9706,400,hscssp_pdr3_dud,42687989192620491
S21B-EN01,42687993487559362,351.0799048720048,0.14402433907383666,J2000.0,9706,401,hscssp_pdr3_dud,42687993487559362
S21B-EN01,42687993487559660,351.1178736956425,0.15059086839399613,J2000.0,9706,401,hscssp_pdr3_dud,42687993487559660
S21B-EN01,42687993487560536,351.07296316951397,0.16928673310527234,J2000.0,9706,401,hscssp_pdr3_dud,42687993487560536
S21B-EN01,42687993487563286,351.1664202892872,0.2296590476153235,J2000.0,9706,401,hscssp_pdr3_dud,42687993487563286
S21B-EN01,42687993487563344,351.16663715197706,0.23126322905723928,J2000.0,9706,401,hscssp_pdr3_dud,42687993487563344
S21B-EN01,42687993487563642,351.07382268961044,0.23808969640489303,J2000.0,9706,401,hscssp_pdr3_dud,42687993487563642
S21B-EN01,42687993487564716,351.1341121549842,0.2636417098799857,J2000.0,9706,401,hscssp_pdr3_dud,42687993487564716
S21B-EN01,42687993487565754,351.0937343835695,0.11216645909493986,J2000.0,9706,401,hscssp_pdr3_dud,42687993487565754
S21B-EN01,42687993487566552,351.19984239589763,0.21194557697900482,J2000.0,9706,401,hscssp_pdr3_dud,42687993487566552
S21B-EN01,42687993487577341,351.1020983978194,0.11630916718828149,J2000.0,9706,401,hscssp_pdr3_dud,42687993487577341
S21B-EN01,42687993487577740,351.0237639543547,0.1727156762518166,J2000.0,9706,401,hscssp_pdr3_dud,42687993487577740
S21B-EN01,42687993487577801,351.02243089822565,0.13430061719183115,J2000.0,9706,401,hscssp_pdr3_dud,42687993487577801
S21B-EN01,42687993487577899,351.204298709929,0.10784756157670554,J2000.0,9706,401,hscssp_pdr3_dud,42687993487577899
S21B-EN01,42687993487579061,351.1606658110467,0.12666284474278783,J2000.0,9706,401,hscssp_pdr3_dud,42687993487579061
S21B-EN01,42687993487580747,351.1713170936444,0.14378579743746203,J2000.0,9706,401,hscssp_pdr3_dud,42687993487580747
S21B-EN01,42687993487580910,351.17718419833375,0.15078256626652553,J2000.0,9706,401,hscssp_pdr3_dud,42687993487580910
S21B-EN01,42687993487581488,351.1396765929333,0.15386618816078845,J2000.0,9706,401,hscssp_pdr3_dud,42687993487581488
S21B-EN01,42687993487582719,351.08960983163394,0.17325077836521005,J2000.0,9706,401,hscssp_pdr3_dud,42687993487582719
S21B-EN01,42687993487583883,351.10176168671467,0.24709593667119967,J2000.0,9706,401,hscssp_pdr3_dud,42687993487583883
S21B-EN01,42687993487584431,351.0507616883462,0.19341723211288822,J2000.0,9706,401,hscssp_pdr3_dud,42687993487584431
S21B-EN01,42687993487584485,351.1783556714479,0.1945005419884264,J2000.0,9706,401,hscssp_pdr3_dud,42687993487584485
S21B-EN01,42687993487584494,351.03280781661016,0.195038796782478,J2000.0,9706,401,hscssp_pdr3_dud,42687993487584494
S21B-EN01,42687993487584703,351.0740578240602,0.19799468583469018,J2000.0,9706,401,hscssp_pdr3_dud,42687993487584703
S21B-EN01,42687993487586106,351.1131822766455,0.2174444190969496,J2000.0,9706,401,hscssp_pdr3_dud,42687993487586106
S21B-EN01,42687993487586524,351.06622600331224,0.2236076645644961,J2000.0,9706,401,hscssp_pdr3_dud,42687993487586524
S21B-EN01,42687993487587293,351.05701810315935,0.23473317489250475,J2000.0,9706,401,hscssp_pdr3_dud,42687993487587293
S21B-EN01,42687993487587709,351.0813987700621,0.24094719583399954,J2000.0,9706,401,hscssp_pdr3_dud,42687993487587709
S21B-EN01,42687993487587856,351.1508225815745,0.2489805082446724,J2000.0,9706,401,hscssp_pdr3_dud,42687993487587856
S21B-EN01,42687993487588518,351.0337685527115,0.2518474668658189,J2000.0,9706,401,hscssp_pdr3_dud,42687993487588518
S21B-EN01,42687993487589120,351.15042577247357,0.2621832940792174,J2000.0,9706,401,hscssp_pdr3_dud,42687993487589120
S21B-EN01,42687993487589763,351.1986035885404,0.2745037750070496,J2000.0,9706,401,hscssp_pdr3_dud,42687993487589763
S21B-EN01,42687993487589779,351.19872360072026,0.2758654587876369,J2000.0,9706,401,hscssp_pdr3_dud,42687993487589779
S21B-EN01,42687997782524651,351.05950239097024,0.2900723808123159,J2000.0,9706,402,hscssp_pdr3_dud,42687997782524651
S21B-EN01,42687997782525148,351.0217543797282,0.3034336863271964,J2000.0,9706,402,hscssp_pdr3_dud,42687997782525148
S21B-EN01,42687997782526906,351.15143802982,0.34965625528666,J2000.0,9706,402,hscssp_pdr3_dud,42687997782526906
S21B-EN01,42687997782528026,351.19060319736553,0.37744077503558005,J2000.0,9706,402,hscssp_pdr3_dud,42687997782528026
S21B-EN01,42687997782528028,351.04512158280363,0.37756948837430776,J2000.0,9706,402,hscssp_pdr3_dud,42687997782528028
S21B-EN01,42687997782528512,351.0847264996019,0.3887101527931044,J2000.0,9706,402,hscssp_pdr3_dud,42687997782528512
S21B-EN01,42687997782528639,351.02110825094036,0.39149514118952294,J2000.0,9706,402,hscssp_pdr3_dud,42687997782528639
S21B-EN01,42687997782529555,351.0850913442796,0.4118511534840528,J2000.0,9706,402,hscssp_pdr3_dud,42687997782529555
S21B-EN01,42687997782529722,351.0990784479802,0.41638190248968865,J2000.0,9706,402,hscssp_pdr3_dud,42687997782529722
S21B-EN01,42687997782529919,351.0929184383054,0.4205542687264402,J2000.0,9706,402,hscssp_pdr3_dud,42687997782529919
S21B-EN01,42687997782542361,351.1991811386545,0.2774078895878083,J2000.0,9706,402,hscssp_pdr3_dud,42687997782542361
S21B-EN01,42687997782542949,351.09397133957384,0.36833616574073685,J2000.0,9706,402,hscssp_pdr3_dud,42687997782542949
S21B-EN01,42687997782545771,351.14959124332415,0.3198076155873501,J2000.0,9706,402,hscssp_pdr3_dud,42687997782545771
S21B-EN01,42687997782545933,351.0274661769905,0.3241783234952632,J2000.0,9706,402,hscssp_pdr3_dud,42687997782545933
S21B-EN01,42687997782546030,351.13685279879763,0.3262594394626175,J2000.0,9706,402,hscssp_pdr3_dud,42687997782546030
S21B-EN01,42687997782547281,351.13414646178194,0.3451120728007287,J2000.0,9706,402,hscssp_pdr3_dud,42687997782547281
S21B-EN01,42687997782547821,351.0800037061563,0.3532809398848434,J2000.0,9706,402,hscssp_pdr3_dud,42687997782547821
S21B-EN01,42687997782548316,351.1876307341881,0.3624066252844194,J2000.0,9706,402,hscssp_pdr3_dud,42687997782548316
S21B-EN01,42687997782549569,351.0431305288897,0.38396511714894527,J2000.0,9706,402,hscssp_pdr3_dud,42687997782549569
S21B-EN01,42687997782550030,351.096271870851,0.3936209669173466,J2000.0,9706,402,hscssp_pdr3_dud,42687997782550030
S21B-EN01,42687997782550136,351.12550408564215,0.3944077973806264,J2000.0,9706,402,hscssp_pdr3_dud,42687997782550136
S21B-EN01,42687997782551501,351.0600083310354,0.415701881064367,J2000.0,9706,402,hscssp_pdr3_dud,42687997782551501
S21B-EN01,42687997782552923,351.06667014055597,0.44531260001716017,J2000.0,9706,402,hscssp_pdr3_dud,42687997782552923
S21B-EN01,42688002077491557,351.1281899751689,0.46631279922162977,J2000.0,9706,403,hscssp_pdr3_dud,42688002077491557
S21B-EN01,42688002077491722,351.1633731789945,0.46958656611775806,J2000.0,9706,403,hscssp_pdr3_dud,42688002077491722
S21B-EN01,42688002077491997,351.1638596703907,0.47489617626744773,J2000.0,9706,403,hscssp_pdr3_dud,42688002077491997
S21B-EN01,42688002077492137,351.18375454433396,0.4774378003855221,J2000.0,9706,403,hscssp_pdr3_dud,42688002077492137
S21B-EN01,42688002077492553,351.1706551734407,0.4854573860880295,J2000.0,9706,403,hscssp_pdr3_dud,42688002077492553
S21B-EN01,42688002077493248,351.06810286861565,0.4987492750527648,J2000.0,9706,403,hscssp_pdr3_dud,42688002077493248
S21B-EN01,42688002077493745,351.1774221769069,0.5092845346633921,J2000.0,9706,403,hscssp_pdr3_dud,42688002077493745
S21B-EN01,42688002077494376,351.1020756715826,0.5217240244498577,J2000.0,9706,403,hscssp_pdr3_dud,42688002077494376
S21B-EN01,42688002077495774,351.0199043973438,0.5496749330867701,J2000.0,9706,403,hscssp_pdr3_dud,42688002077495774
S21B-EN01,42688002077496497,351.2016858108154,0.5649232232095116,J2000.0,9706,403,hscssp_pdr3_dud,42688002077496497
S21B-EN01,42688002077497317,351.1090901483929,0.5818757907817184,J2000.0,9706,403,hscssp_pdr3_dud,42688002077497317
S21B-EN01,42688002077499136,351.0638315562951,0.6205490407540566,J2000.0,9706,403,hscssp_pdr3_dud,42688002077499136
S21B-EN01,42688002077513090,351.09466968209074,0.47948054643097526,J2000.0,9706,403,hscssp_pdr3_dud,42688002077513090
S21B-EN01,42688002077513363,351.1253227702587,0.485665281367252,J2000.0,9706,403,hscssp_pdr3_dud,42688002077513363
S21B-EN01,42688002077513737,351.1922588386106,0.4927266329498721,J2000.0,9706,403,hscssp_pdr3_dud,42688002077513737
S21B-EN01,42688002077513899,351.1976955083205,0.48894280704946136,J2000.0,9706,403,hscssp_pdr3_dud,42688002077513899
S21B-EN01,42688002077514092,351.0720586524844,0.49188012150165167,J2000.0,9706,403,hscssp_pdr3_dud,42688002077514092
S21B-EN01,42688002077516744,351.0855277087691,0.5278515013232348,J2000.0,9706,403,hscssp_pdr3_dud,42688002077516744
